user_id,order_id,product_name,category,timestamp
U016,O1064,Túi xách nữ,Thời trang nữ,2024-06-10 13:00:00
U017,O1065,Điện thoại Samsung,Điện tử,2024-02-20 14:00:00
U017,O1066,Ốp lưng Samsung,Phụ kiện,2024-03-01 15:00:00
U017,O1067,Tai nghe Bluetooth,Phụ kiện,2024-07-15 16:00:00
U018,O1068,Áo hoodie,Thời trang nam,2024-03-10 17:00:00
U018,O1069,Quần thể thao,Thể thao,2024-03-20 09:00:00
U018,O1070,Giày sneaker trắng,Giày dép,2024-08-10 10:00:00
U019,O1071,Áo thun nam,Thời trang nam,2024-01-10 11:00:00
U019,O1072,Quần jeans,Thời trang nam,2024-01-20 12:00:00
U019,O1073,Giày sneaker trắng,Giày dép,2024-02-15 13:00:00
U019,O1074,Đồng hồ Casio,Phụ kiện,2024-03-10 14:00:00
U020,O1075,Áo thun nam,Thời trang nam,2024-02-05 15:00:00
U020,O1076,Quần jeans,Thời trang nam,2024-02-15 16:00:00
U020,O1077,Giày sneaker trắng,Giày dép,2024-03-20 17:00:00
U020,O1078,Đồng hồ Casio,Phụ kiện,2024-04-10 09:00:00
